name,align,eye,hair,sex,year
Lucia Viti,Bad Characters,Blue Eyes,Brown Hair,Female Characters,1999
Packrat,Bad Characters,Green Eyes,Brown Hair,Male Characters,1999
Wardell Washington,Bad Characters,Brown Eyes,Black Hair,Male Characters,1999
Pallas,Good Characters,Brown Eyes,Black Hair,Female Characters,1998
Sister Sunlight,Good Characters,Blue Eyes,Blond Hair,Female Characters,1998
Bernell Jones,Good Characters,Brown Eyes,Brown Hair,Male Characters,1997
Cynthia Brand,Bad Characters,Green Eyes,Red Hair,Female Characters,1997
Marlon Dall,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1997
Orunmilla,Neutral Characters,Brown Eyes,Black Hair,Male Characters,1997
Rhombus,Bad Characters,Black Eyes,White Hair,Male Characters,1997
Bang Bang,Bad Characters,Black Eyes,Black Hair,Female Characters,1996
Death-Doll,Bad Characters,Blue Eyes,Blond Hair,Female Characters,1996
Eva Green,Bad Characters,Blue Eyes,Blond Hair,Female Characters,1996
Helen Belcanto,Bad Characters,Brown Eyes,Black Hair,Female Characters,1996
Holly Green,Bad Characters,Blue Eyes,Blond Hair,Female Characters,1996
Patty Patty,Bad Characters,Black Eyes,Blond Hair,Female Characters,1996
Warhammer,Good Characters,Blue Eyes,Blond Hair,Male Characters,1996
Fauna Faust,Bad Characters,Black Eyes,White Hair,Female Characters,1995
George Tweedle,Bad Characters,Yellow Eyes,Black Hair,Male Characters,1995
James Craddock II,Neutral Characters,Blue Eyes,White Hair,Male Characters,1995
Techno,Bad Characters,Brown Eyes,Black Hair,Male Characters,1995
Equinox,Good Characters,Blue Eyes,Blond Hair,Male Characters,1994
Hardsell,Bad Characters,Brown Eyes,Black Hair,Male Characters,1994
Unclean,Bad Characters,Brown Eyes,Brown Hair,Female Characters,1994
Zephyr,Bad Characters,Green Eyes,Red Hair,Female Characters,1994
Colin Brandywine,Good Characters,White Eyes,Black Hair,Male Characters,1993
Immortal,Bad Characters,Blue Eyes,Blond Hair,Male Characters,1993
White Spider,Bad Characters,Red Eyes,White Hair,Male Characters,1993
Headhunter I,Bad Characters,Blue Eyes,White Hair,Male Characters,1992
Horten Spence,Neutral Characters,Brown Eyes,Black Hair,Male Characters,1992
Iris Phelios,Bad Characters,Blue Eyes,Black Hair,Female Characters,1992
Balder,Good Characters,Blue Eyes,Blond Hair,Male Characters,1991
Miliza,Bad Characters,Brown Eyes,Black Hair,Female Characters,1991
Roscoe Barrow,Bad Characters,Brown Eyes,Black Hair,Male Characters,1991
Albart,Neutral Characters,Brown Eyes,White Hair,Male Characters,1990
Crimesmith,Bad Characters,Brown Eyes,Black Hair,Female Characters,1990
Curtis Base,Bad Characters,Blue Eyes,Green Hair,Male Characters,1990
Gulacia,Neutral Characters,Hazel Eyes,Brown Hair,Female Characters,1990
Illya,Good Characters,Green Eyes,Red Hair,Female Characters,1990
Kathryn George,Good Characters,Blue Eyes,Black Hair,Female Characters,1990
Marleah,Bad Characters,Grey Eyes,Brown Hair,Female Characters,1990
Notional Man,Bad Characters,White Eyes,White Hair,Male Characters,1990
Rafael Santini,Bad Characters,Blue Eyes,Black Hair,Male Characters,1990
Steven Sharpe V,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1990
Trevis,Good Characters,Brown Eyes,Brown Hair,Male Characters,1990
Viro,Good Characters,Brown Eyes,Grey Hair,Male Characters,1990
Batiri,Good Characters,Brown Eyes,Brown Hair,Female Characters,1989
Dana Rubikskova,Good Characters,Green Eyes,Brown Hair,Female Characters,1989
Esteban Sanchez,Good Characters,Brown Eyes,Black Hair,Male Characters,1989
Joshua Barbazon,Good Characters,Blue Eyes,Blond Hair,Male Characters,1989
Kadesha Banu,Good Characters,Brown Eyes,Brown Hair,Female Characters,1989
Marie Saloppe,Good Characters,Brown Eyes,Strawberry Blond Hair,Female Characters,1989
Kent Thurston,Good Characters,Black Eyes,Blond Hair,Male Characters,1988
Lawrence Gonzalez,Good Characters,Brown Eyes,Black Hair,Male Characters,1988
Matvei Rodor,Bad Characters,Blue Eyes,Red Hair,Male Characters,1988
Sen-M,Good Characters,Black Eyes,Black Hair,Male Characters,1988
Slats Mehlville,Good Characters,Green Eyes,Red Hair,Male Characters,1988
Sweryn Kania,Good Characters,Blue Eyes,Red Hair,Male Characters,1988
Timothy Simms,Good Characters,Blue Eyes,Black Hair,Male Characters,1988
Eyra-L,Good Characters,Green Eyes,Black Hair,Female Characters,1987
Johnny Vitti,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1987
Kan-Z,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,1987
Ran-L,Good Characters,Brown Eyes,White Hair,Male Characters,1987
Spaulding,Bad Characters,Black Eyes,Black Hair,Male Characters,1987
Wizened Sage,Neutral Characters,Brown Eyes,Black Hair,Male Characters,1987
Caitiff,Neutral Characters,White Eyes,Brown Hair,Male Characters,1986
Nelson Mandutu,Good Characters,Black Eyes,Black Hair,Male Characters,1986
Mustapha Maksai,Bad Characters,Brown Eyes,Black Hair,Male Characters,1985
Prince Ruby,Good Characters,Red Eyes,Red Hair,Male Characters,1985
Sturges Hellstrom,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1984
Wrath,Bad Characters,Blue Eyes,Black Hair,Male Characters,1984
Majistra,Bad Characters,Gold Eyes,Black Hair,Female Characters,1983
Bison-Black-As-Midnight-Sky,Bad Characters,Brown Eyes,White Hair,Male Characters,1982
David Rennington,Bad Characters,Blue Eyes,Black Hair,Male Characters,1982
Feathered Serpent,Bad Characters,Brown Eyes,Blond Hair,Male Characters,1982
Quarzz Teranh,Good Characters,Red Eyes,Brown Hair,Male Characters,1982
Flamesplasher,Bad Characters,Black Eyes,Black Hair,Male Characters,1977
Clifton Lacey,Bad Characters,Blue Eyes,Black Hair,Male Characters,1976
Harris Blaine,Good Characters,Brown Eyes,Black Hair,Male Characters,1972
Tempter,Bad Characters,Black Eyes,Black Hair,Male Characters,1972
Sheila Dover,Good Characters,Blue Eyes,Blond Hair,Female Characters,1966
Kajz Dox,Bad Characters,Green Eyes,Blond Hair,Male Characters,1965
Midas,Bad Characters,Yellow Eyes,Gold Hair,Male Characters,1965
Don Caballero,Good Characters,Brown Eyes,Black Hair,Male Characters,1951
Loral,Good Characters,Black Eyes,Black Hair,Female Characters,1944
Adellca,Good Characters,Black Eyes,Black Hair,Female Characters,2011
Artois,Good Characters,Yellow Eyes,Blond Hair,Male Characters,2011
Blinder,Bad Characters,Brown Eyes,Black Hair,Male Characters,2011
Ethan Kramer,Good Characters,Blue Eyes,Red Hair,Male Characters,2011
Jennifer Myers,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,2011
Krypto,Good Characters,Blue Eyes,White Hair,Male Characters,2011
Lattea,Good Characters,Brown Eyes,Black Hair,Female Characters,2011
Naomi Lord,Good Characters,Brown Eyes,Brown Hair,Female Characters,2011
Norman Rotrig,Bad Characters,Brown Eyes,Red Hair,Male Characters,2011
Southside,Bad Characters,Blue Eyes,Blue Hair,Male Characters,2011
Theodoric,Good Characters,Black Eyes,Brown Hair,Male Characters,2011
Vegar,Good Characters,White Eyes,Blue Hair,Male Characters,2011
Altman,Bad Characters,Brown Eyes,Brown Hair,Male Characters,2010
Bogeyman,Bad Characters,Red Eyes,White Hair,Male Characters,2010
Brigadoom,Bad Characters,Blue Eyes,Red Hair,Male Characters,2010
Byrna Brilyant,Bad Characters,Blue Eyes,Black Hair,Female Characters,2010
Dana Tan,Good Characters,Black Eyes,Black Hair,Female Characters,2010
Jack of Clubs IV,Bad Characters,Brown Eyes,Black Hair,Male Characters,2010
Mareena,Good Characters,Blue Eyes,Green Hair,Female Characters,2010
Maxine Gibson,Good Characters,Black Eyes,Purple Hair,Female Characters,2010
Micron,Good Characters,Brown Eyes,Black Hair,Male Characters,2010
Mind Czar,Bad Characters,Brown Eyes,Black Hair,Male Characters,2010
Mister Justice,Good Characters,White Eyes,Black Hair,Male Characters,2010
Nicholas Quinzel,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,2010
Olivia Reynolds II,Bad Characters,Blue Eyes,Brown Hair,Female Characters,2010
Queen of Hearts V,Bad Characters,Green Eyes,Red Hair,Female Characters,2010
Quetzlotl,Good Characters,Yellow Eyes,Blond Hair,Male Characters,2010
Reb,Bad Characters,Blue Eyes,Blond Hair,Male Characters,2010
Vivienne,Good Characters,Blue Eyes,Black Hair,Female Characters,2010
Walter Steele,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,2010
Batman Jones,Good Characters,Brown Eyes,Black Hair,Male Characters,2009
Dax-Am,Neutral Characters,Black Eyes,Blond Hair,Male Characters,2009
Diane Dorst,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,2009
Imecsub,Bad Characters,Yellow Eyes,Red Hair,Male Characters,2009
La Sangre,Good Characters,Red Eyes,Red Hair,Female Characters,2009
Lightning Bug,Bad Characters,Brown Eyes,Brown Hair,Male Characters,2009
Norman McCay,Good Characters,Blue Eyes,Grey Hair,Male Characters,2009
Six of Spades II,Bad Characters,Blue Eyes,Black Hair,Female Characters,2009
William von Hammer,Good Characters,Blue Eyes,Blond Hair,Male Characters,2009
Clot,Bad Characters,Black Eyes,Green Hair,Male Characters,2008
Falseface,Bad Characters,Blue Eyes,Brown Hair,Female Characters,2008
Gluttony II,Bad Characters,Red Eyes,Black Hair,Male Characters,2008
Jack,Bad Characters,Red Eyes,Black Hair,Male Characters,2008
James,Bad Characters,Red Eyes,Black Hair,Male Characters,2008
Dale Smith,Bad Characters,Brown Eyes,Brown Hair,Male Characters,2007
George Calderon,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,2007
Jackson Jones,Bad Characters,Yellow Eyes,Brown Hair,Male Characters,2007
Khyrana,Bad Characters,Blue Eyes,Blond Hair,Female Characters,2007
Maxi-Man II,Good Characters,Green Eyes,Blond Hair,Male Characters,2007
Barnabus,Good Characters,Black Eyes,Brown Hair,Male Characters,2006
Big Thunder,Good Characters,Black Eyes,Black Hair,Male Characters,2006
Bulletdog,Good Characters,Black Eyes,Brown Hair,Male Characters,2006
Erik Hanson,Bad Characters,Blue Eyes,Blond Hair,Male Characters,2006
Esteban of the Posse,Neutral Characters,Brown Eyes,Black Hair,Male Characters,2006
Lady Liberty III,Good Characters,Green Eyes,Red Hair,Female Characters,2006
Lance Harrower,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,2006
Mickey the Mouse,Good Characters,Black Eyes,White Hair,Male Characters,2006
Mother Zed,Good Characters,Brown Eyes,Black Hair,Female Characters,2006
Shirea Vaas,Good Characters,Green Eyes,Black Hair,Female Characters,2006
Suli Stellamaris,Neutral Characters,Black Eyes,Black Hair,Female Characters,2006
Terri Thirteen,Good Characters,Brown Eyes,Black Hair,Female Characters,2006
Uglyhead,Bad Characters,Black Eyes,Black Hair,Male Characters,2006
Ahmed Samsarra,Good Characters,Brown Eyes,Brown Hair,Male Characters,2005
Antonio Silencio,Neutral Characters,Black Eyes,Black Hair,Male Characters,2005
Captain,Good Characters,Black Eyes,Black Hair,Male Characters,2005
Debra Sinclair,Neutral Characters,Blue Eyes,Black Hair,Female Characters,2005
Ebeneezer Badde,Bad Characters,Black Eyes,Black Hair,Male Characters,2005
Guilt,Bad Characters,Green Eyes,Blue Hair,Genderless Characters,2005
High-Rise,Bad Characters,Black Eyes,Black Hair,Male Characters,2005
Oksana Verchenko,Good Characters,Blue Eyes,Blond Hair,Female Characters,2005
Patricia Grace-Colby,Good Characters,Brown Eyes,Brown Hair,Female Characters,2005
Soapy,Neutral Characters,Brown Eyes,Black Hair,Male Characters,2005
Tech-Fu,Good Characters,Black Eyes,Black Hair,Male Characters,2005
White Willow,Bad Characters,Blue Eyes,Blond Hair,Female Characters,2005
Precious,Bad Characters,Green Eyes,Red Hair,Female Characters,2004
Althea,Good Characters,Brown Eyes,Brown Hair,Female Characters,2003
Amok,Bad Characters,Black Eyes,Black Hair,Male Characters,2003
Catalyn,Good Characters,Brown Eyes,Brown Hair,Female Characters,2003
Dennap,Good Characters,Blue Eyes,White Hair,Female Characters,2003
Rudyon,Good Characters,Blue Eyes,Red Hair,Male Characters,2003
David DeVille,Bad Characters,Blue Eyes,Blond Hair,Male Characters,2002
King of Spades IV,Bad Characters,Black Eyes,Blond Hair,Male Characters,2002
Meat Cleaver,Bad Characters,Green Eyes,Brown Hair,Male Characters,2002
Marge Dover,Good Characters,Blue Eyes,Blond Hair,Female Characters,2001
Mudge,Bad Characters,Brown Eyes,Brown Hair,Male Characters,2001
Oya,Good Characters,Brown Eyes,Black Hair,Female Characters,2001
Sirius,Neutral Characters,Yellow Eyes,Red Hair,Male Characters,2001
Duran,Bad Characters,Brown Eyes,Black Hair,Male Characters,2000
El Lobizon,Good Characters,Black Eyes,Brown Hair,Male Characters,2000
Lakutha,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,2000
Metalhead II,Bad Characters,Brown Eyes,Red Hair,Male Characters,2000
Rosemary Fields,Good Characters,Blue Eyes,Red Hair,Female Characters,2000
Bobby Gazzo,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1999
Buzzword,Bad Characters,White Eyes,Blond Hair,Female Characters,1999
Cythonna,Bad Characters,White Eyes,White Hair,Female Characters,1999
Echielias,Good Characters,Red Eyes,Grey Hair,Male Characters,1999
Gorbzil Mammit,Good Characters,Hazel Eyes,Black Hair,Male Characters,1999
Heraphon,Good Characters,Red Eyes,Grey Hair,Male Characters,1999
Illuminata,Bad Characters,Green Eyes,Blond Hair,Female Characters,1999
Rrall,Good Characters,Red Eyes,Grey Hair,Male Characters,1999
Tora,Bad Characters,Brown Eyes,Black Hair,Female Characters,1999
Vestina,Good Characters,Brown Eyes,Black Hair,Female Characters,1999
Acidia,Bad Characters,Red Eyes,Blond Hair,Female Characters,1998
Becky Albright,Good Characters,Hazel Eyes,Brown Hair,Female Characters,1998
Carnivore,Bad Characters,Red Eyes,Black Hair,Male Characters,1998
Kid Emotion,Good Characters,Brown Eyes,Brown Hair,Male Characters,1998
Michael Patten,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1998
Prom Queen,Bad Characters,Brown Eyes,Black Hair,Female Characters,1998
Rip Roar,Bad Characters,Red Eyes,Strawberry Blond Hair,Male Characters,1998
Ariadne of the Blue Guard,Good Characters,Blue Eyes,Black Hair,Female Characters,1997
David Mancini,Bad Characters,Blue Eyes,Blond Hair,Male Characters,1997
Earl Povich,Bad Characters,Blue Eyes,Black Hair,Male Characters,1997
Hoppy,Good Characters,Blue Eyes,Pink Hair,Male Characters,1997
Isaac Fisher,Bad Characters,Brown Eyes,Black Hair,Male Characters,1997
Jasper Dolan,Neutral Characters,Blue Eyes,Grey Hair,Male Characters,1997
Mawu,Neutral Characters,Brown Eyes,Black Hair,Female Characters,1997
Millie,Good Characters,Blue Eyes,Pink Hair,Female Characters,1997
Mister Finish,Bad Characters,Red Eyes,Brown Hair,Male Characters,1997
Mister Frost,Bad Characters,Red Eyes,White Hair,Male Characters,1997
Peter Ostine,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1997
Richard Malverne,Neutral Characters,Blue Eyes,Red Hair,Male Characters,1997
Twilight II,Bad Characters,Blue Eyes,White Hair,Female Characters,1997
Arashi Ohashi,Good Characters,Brown Eyes,Black Hair,Female Characters,1996
Poltergeist,Bad Characters,Blue Eyes,Black Hair,Male Characters,1996
Richard Daniel,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1996
Wallace Johnson,Good Characters,Brown Eyes,Black Hair,Male Characters,1996
Chillblaine III,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1995
Clay Irons,Good Characters,Brown Eyes,Black Hair,Male Characters,1995
Kalibre,Neutral Characters,Blue Eyes,Black Hair,Male Characters,1995
Miles Duncan,Good Characters,Blue Eyes,Black Hair,Male Characters,1995
Percival Pill,Good Characters,Black Eyes,Black Hair,Male Characters,1995
Pierce I,Bad Characters,Brown Eyes,Brown Hair,Female Characters,1995
Steven Kernahan,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1995
Backstabber,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1994
Mala of Bana-Mighdall,Good Characters,Blue Eyes,Brown Hair,Female Characters,1994
Mark Armstrong,Good Characters,Green Eyes,Brown Hair,Male Characters,1994
Shellgame,Bad Characters,Blue Eyes,Black Hair,Female Characters,1994
Stiletta,Bad Characters,Green Eyes,Brown Hair,Female Characters,1994
Luke Hames,Good Characters,Blue Eyes,Blond Hair,Male Characters,1993
Marauder I,Bad Characters,Green Eyes,Red Hair,Female Characters,1993
Perry Dennison,Bad Characters,Black Eyes,Black Hair,Male Characters,1993
Darthartheen,Bad Characters,Brown Eyes,Brown Hair,Female Characters,1992
Dawlakispokpok,Bad Characters,Blue Eyes,White Hair,Male Characters,1992
Jon Kennedy Payne,Bad Characters,Blue Eyes,Blond Hair,Male Characters,1992
Stanislaus Johns,Bad Characters,Blue Eyes,White Hair,Male Characters,1992
Thwarcharchura,Bad Characters,Brown Eyes,Brown Hair,Female Characters,1992
Amaya,Bad Characters,Blue Eyes,Black Hair,Female Characters,1991
Angst,Bad Characters,Red Eyes,Black Hair,Male Characters,1991
Cursor,Bad Characters,Brown Eyes,Black Hair,Female Characters,1991
Julie Crystal,Bad Characters,Blue Eyes,Blond Hair,Female Characters,1991
Julius Barrow,Bad Characters,Brown Eyes,Black Hair,Male Characters,1991
Lyana,Bad Characters,Brown Eyes,Black Hair,Female Characters,1991
Marita,Bad Characters,Brown Eyes,Black Hair,Female Characters,1991
Paradox,Bad Characters,Red Eyes,White Hair,Male Characters,1991
Priscilla Stryker,Bad Characters,Blue Eyes,Blond Hair,Female Characters,1991
Shalir,Bad Characters,Brown Eyes,Brown Hair,Female Characters,1991
Sigyn,Neutral Characters,White Eyes,White Hair,Male Characters,1991
Britton,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,1990
Maia,Neutral Characters,Blue Eyes,Brown Hair,Female Characters,1990
Miss Tribb,Neutral Characters,Red Eyes,Black Hair,Female Characters,1990
Morisca,Good Characters,Brown Eyes,Red Hair,Female Characters,1990
Noor Harjavti,Bad Characters,Brown Eyes,Black Hair,Female Characters,1990
Poet II,Bad Characters,Brown Eyes,Blond Hair,Male Characters,1990
Rajar,Good Characters,Black Eyes,Brown Hair,Male Characters,1990
Stearn,Good Characters,Blue Eyes,White Hair,Male Characters,1990
Thorne,Good Characters,Grey Eyes,Grey Hair,Male Characters,1990
Anau00efs Arcane,Good Characters,Blue Eyes,White Hair,Female Characters,1989
Carya,Good Characters,Brown Eyes,Black Hair,Female Characters,1989
